Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00 2520000/17104954     v1_ [56]
                0.00    0.00 1330000/4061141     v2_ [90]
-----------------------------------------------
                0.05    0.10  970000/970000      potekhin2019_ [7]
[33]     0.4    0.05    0.10  970000         condegin_ [33]
                0.01    0.05  970000/970000      coulin_ [50]
                0.00    0.05  970000/970000      coul99i_ [53]
                0.00    0.00     298/290298      taueesy_ [78]
-----------------------------------------------
                0.14    0.01 3760000/3760000     q3_ [22]
[34]     0.4    0.14    0.01 3760000         qsynchro_ [34]
                0.01    0.00 3760000/8500000     kfermi_ [57]
-----------------------------------------------
                0.00    0.00       1/1002        binit_ [88]
                0.00    0.13    1001/1002        bevol_ [18]
[35]     0.3    0.00    0.13    1002         boundary_ [35]
                0.07    0.00    1002/1002        vacuumbc_ [45]
                0.00    0.06    1002/1003        gauleg_ [48]
                0.00    0.00    1002/1002        getbl_ [115]
-----------------------------------------------
                0.01    0.04  970000/1940000     coul99i_ [53]
                0.01    0.04  970000/1940000     coulin_ [50]
[36]     0.2    0.02    0.07 1940000         coulan2_ [36]
                0.07    0.00 5819976/247911262     expint_ [17]
-----------------------------------------------
                0.00    0.09  623700/623700      eosmag_ [27]
[37]     0.2    0.00    0.09  623700         chemag8_ [37]
                0.05    0.02  623700/623700      chemfit7_ [44]
                0.00    0.01  623700/623700      elect11_ [68]
                0.01    0.00  604952/623598      elect11b_ [75]
                0.00    0.00     102/18748       elect11a_ [80]
-----------------------------------------------
                0.09    0.00  623700/623700      eosfim12_ [30]
[38]     0.2    0.09    0.00  623700         excorm_ [38]
                0.00    0.00  279374/279374      darcth_ [103]
-----------------------------------------------
                0.08    0.01 3760000/3760000     q3_ [22]
[39]     0.2    0.08    0.01 3760000         qplasma_ [39]
                0.01    0.00 3760000/8500000     kfermi_ [57]
-----------------------------------------------
                0.05    0.03 3760000/3760000     q3_ [22]
[40]     0.2    0.05    0.03 3760000         qmurca_ [40]
                0.02    0.00 1797214/1797214     rrmp_pa_ [60]
                0.00    0.00  497024/497024      rrmp_ba_ [85]
                0.00    0.00 2294238/17104954     v1_ [56]
                0.00    0.00  497024/497024      rrmn_ba_ [86]
                0.00    0.00 1797214/2294238     rrmn_pa_ [94]
                0.00    0.00  497024/4061141     v2_ [90]
-----------------------------------------------
                0.04    0.03  970000/970000      potekhin2019_ [7]
[41]     0.2    0.04    0.03  970000         condin_ [41]
                0.02    0.00 1940000/247911262     expint_ [17]
                0.01    0.00  970000/970000      hlfit8_ [74]
-----------------------------------------------
                0.06    0.01 3760000/3760000     q3_ [22]
[42]     0.2    0.06    0.01 3760000         qcpbf_co_ [42]
                0.01    0.00 2276838/3080124     ffa_ [70]
                0.00    0.00 2276838/17104954     v1_ [56]
                0.00    0.00  497024/4061141     v2_ [90]
